ImageFile	KIConcen	FluorescentDye	Day	ROI	LaserPower	BinNumber	CollectionTime
flu_0_00_09_08_slim_0002	0	3	20230908	1		4	45
flu_0_00_09_08_slim_0003	0	3	20230908	2		4	45
flu_0_02_09_08_slim_0000	0.02	3	20230908	1		4	45
flu_0_02_09_08_slim_0001	0.02	3	20230908	2		4	45
flu_0_03_09_08_slim_0000	0.03	3	20230908	1		4	45
flu_0_03_09_08_slim_0001	0.03	3	20230908	2		4	45
flu_0_04_09_08_slim_0000	0.04	3	20230908	1		4	45
flu_0_04_09_08_slim_0001	0.04	3	20230908	2		4	45
flu_0_05_09_08_slim_0000	0.05	3	20230908	1		4	45
flu_0_05_09_08_slim_0001	0.05	3	20230908	2		4	45
flu_0_06_09_08_slim_0000	0.06	3	20230908	1		4	45
flu_0_06_09_08_slim_0001	0.06	3	20230908	2		4	45
flu_0_07_09_08_slim_0000	0.07	3	20230908	1		4	45
flu_0_07_09_08_slim_0001	0.07	3	20230908	2		4	45
flu_0_08_09_08_slim_0000	0.08	3	20230908	1		4	45
flu_0_08_09_08_slim_0001	0.08	3	20230908	2		4	45
flu_0_00_01_03_slim_0000	0	3	20240103	1		4	45
flu_0_00_01_03_slim_0002	0	3	20240103	2		4	45
flu_0_02_01_03_slim_0000	0.02	3	20240103	1		4	45
flu_0_02_01_03_slim_0001	0.02	3	20240103	2		4	45
flu_0_05_01_03_slim_0000	0.05	3	20240103	1		4	45
flu_0_05_01_03_slim_0001	0.05	3	20240103	2		4	45
flu_0_08_01_03_slim_0000	0.08	3	20240103	1		4	45
flu_0_08_01_03_slim_0001	0.08	3	20240103	2		4	45
flu_0_11_01_03_slim_0000	0.11	3	20240103	1		4	45
flu_0_11_01_03_slim_0001	0.11	3	20240103	2		4	45
flu_0_14_01_03_slim_0000	0.14	3	20240103	1		4	45
flu_0_14_01_03_slim_0001	0.14	3	20240103	2		4	45
flu_0_17_01_03_slim_0000	0.17	3	20240103	1		4	45
flu_0_17_01_03_slim_0001	0.17	3	20240103	2		4	45
flu_0_20_01_03_slim_0000	0.2	3	20240103	1		4	45
flu_0_20_01_03_slim_0001	0.2	3	20240103	2		4	45
